"District","FIPS","Year","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2008-2009","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2009-2010","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2010-2011","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2011-2012","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2012-2013","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2013-2014","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2014-2015","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2015-2016","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2016-2017","Pre-K Students","Number",0
"Achievement First Bridgeport Academy District","","2017-2018","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2007-2008","Pre-K Students","Number",-6666
"Achievement First Hartford Academy District","","2008-2009","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2009-2010","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2010-2011","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2011-2012","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2012-2013","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2013-2014","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2014-2015","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2015-2016","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2016-2017","Pre-K Students","Number",0
"Achievement First Hartford Academy District","","2017-2018","Pre-K Students","Number",0
"Amistad Academy District","","2007-2008","Pre-K Students","Number",0
"Amistad Academy District","","2008-2009","Pre-K Students","Number",0
"Amistad Academy District","","2009-2010","Pre-K Students","Number",0
"Amistad Academy District","","2010-2011","Pre-K Students","Number",0
"Amistad Academy District","","2011-2012","Pre-K Students","Number",0
"Amistad Academy District","","2012-2013","Pre-K Students","Number",0
"Amistad Academy District","","2013-2014","Pre-K Students","Number",0
"Amistad Academy District","","2014-2015","Pre-K Students","Number",0
"Amistad Academy District","","2015-2016","Pre-K Students","Number",0
"Amistad Academy District","","2016-2017","Pre-K Students","Number",0
"Amistad Academy District","","2017-2018","Pre-K Students","Number",0
"Andover School District","","2007-2008","Pre-K Students","Number",32
